publisher_id,publisher_name
810,ACTION SQUARE
811,AC_GameDev
812,AChat Animation Studios
813,ACreativeGame Studio
814,AD ASTRA SOFTWARE S.R.L.
815,AD Games
816,AD Gaming
817,ADALUTEGAMES
818,ADB
819,ADB Games
820,ADC
821,ADE
822,ADE0033
823,ADGS
824,ADHDev
825,ADMI INC.
826,ADOG
827,ADOOM
828,ADO遊戲製作
829,ADT
830,ADVANCETec
831,ADW Games
832,ADox-Lab
833,AEE Game Stage
834,AEL Entertainment
835,AESIR Online Staff
836,AEXLAB
837,AEonAX Studios
838,AEthernum
839,AFBIK Studio
840,AFIL Games
841,AFL Productions
842,AFOG
843,AFROX GAME
844,AFTERNATURE productions
845,AFY Games
846,AG SOFT
847,AGAMES
848,AGC
849,AGE Zero
850,AGENCY GAMES
851,AGHAMUS
852,AGL studios
853,AGM PLAYISM
854,AGN Entertainment
855,AGO Games
856,AGP::Studios
857,AGS
858,AGT - Almost Game Things
859,AGames
860,AGaming+
861,AHAKuo Creations
862,AHDS
863,AHEARTFULOFGAMES
864,AHMET ALP
865,AHui.Game
866,AI Gaming
867,AI Gaming Dev
868,AI Leung
869,AI Media Design
870,AI and Games
871,AI mainland Game studio
872,AIAdev
873,AIDIS Inc.
874,AIHASTO
875,AIKA ISHIZAWA
876,AIKUN
877,AIMStein
878,AIMTeam
879,AIO - STUDIOS GAMES
880,AIONWARE LTD
881,AIO_Games
882,AIP
883,AIR FORGE GAMES L.L.C.
884,"AIRLIB Co., Ltd."
885,AIROTS
886,AIRSTRAFE INTERACTIVE
887,AITSYS
888,AIV - Accademia Italiana Videogiochi
889,AIXLAB
890,AIx2 Games
891,AJ
892,AJ Studio
893,AJ To The Moon
894,AJAES
895,AJB GAMES STUDIO
896,AJG
897,AJJA
898,AJRPG
899,AJetBear Entertainment
900,AK Communications
901,AK STUDIO GAMES
902,AK Sommerville
903,AK Studio
904,AK84C
905,AKAI KIRI
906,AKDasan
907,AKGames
908,AKIMBO
909,AKIYAM
910,AKM Games
911,AKPublish
912,AKPublish pty ltd
913,AL Games
914,AL Games Group
915,AL Raisi Games
916,AL-GAME
917,AL84
918,ALEKSANDER CHEPAIKIN
919,ALFA
920,ALFAGAME
921,ALFINA WORLD GAME PUBLISHING
922,ALG Game Studio
923,ALI A.M
924,ALICE IN DISSONANCE
925,ALID Games
926,ALIEN studio
927,ALIENS Corporation
928,"ALL IN DIGTAL CO., LTD."
929,ALL iN
930,ALLAF GAMES
931,ALLD
932,ALLPlayer Group Ltd.
933,ALONE GAMES
934,ALOOF PROJECT
935,ALPHY
936,ALPixel Games
937,ALT Lab
938,ALTER-BOY
939,ALTERCIWS
940,ALTILLRA
941,ALU COMPUTER ARTS
942,AM Factory
943,AM Games
944,AM Playhouse
945,AM Productions
946,AM45 Games Studio
947,AMAGAMES
948,AMATA Games
949,AMBOSS GAMES
950,AMC Games
951,AMCOG
952,AMDI Studios
953,AMEI Network Technology
954,AMG GAMES
955,AMGames TC
956,AMICUM
957,AMIDEA Games
958,AMILUX Film
959,AMMC Games
960,AMOUS GAME
961,AMS Game Development Association
962,AMTGames
963,AMURu
964,"AN GAMES Co.,Ltd"
965,AN-5
966,ANAGRAM
967,ANASTASI SUKHONOSOVA
968,AND GEAR
969,ANDGames Ltd
970,ANDREI MURASHKEVICH
971,ANDX7072
972,ANEMONA GAMES
973,ANFWorks
974,ANG People s.r.o.
975,ANGA GAMES
976,ANGROWA
977,"ANIEDU Co., Ltd."
978,ANIMABOX
979,ANIM•ACE
980,ANIPLEX.EXE
981,ANIQ
982,ANIY Studio
983,ANPA.US
984,ANTENN
985,ANTENNA GAMES
986,ANTOLD Studio
987,ANV Team
988,AO Games
989,AO2Game
990,AOE Plus
991,AOS GAME
992,AP Thomson
993,AP2 Games
994,APA estudi
995,APAS games
996,APC
997,APC STUDIO
998,APG Studios LLC
999,APGal
1000,APGames
1001,APL Publishing Ltd.
1002,APOGAMES
1003,APOLLON COMPANY LIMITED
1004,APOLLOSOFT
1005,APP-Software
1006,APPLEMINT
1007,APSP24
1008,AQ2World Team
1009,AQE
1010,AQGames
1011,AQL Team
1012,AQMeg
1013,AQUA FACTORY
1014,AQUASTYLE
1015,AQUIRIS
1016,AQin_Gomeisa
1017,"AR Glimpse, LLC"
1018,AR-BRIDGE
1019,AR14.works
1020,ARANJA GAMES STUDIO
1021,ARANJA STUDIO
1022,ARASLANIX
1023,ARC SYSTEM WORKS
1024,ARC Studio
1025,"ARCAT, Inc."
1026,ARCH Jerusalem
1027,ARCSTONE GAMES
1028,ARES Inc.
1029,ARI GAMES
1030,ARIELEK
1031,ARIKA
1032,ARK-SIMDRIVES
1033,ARLOOPA Inc.
1034,ARMA GAMES
1035,ARMSCor Studios
1036,ARN IT SOFTWARE
1037,ARP Softworks
1038,ARQUOIA
1039,ARRGAR Games
1040,ARS
1041,ART-KAR
1042,ART2.team
1043,ARTAME
1044,ARTDINK
1045,ARTE France
1046,ARTIFACTS
1047,ARTLINK
1048,ARTWARE Multimedia
1049,ARTillery Studio
1050,ARVI VR INC.
1051,ARVORE Immersive Games Inc.
1052,ARVRCADE
1053,AS Games
1054,ASA Games Studio
1055,ASA Studio
1056,ASBO Interactive
1057,ASBO Interactive Ltd
1058,ASIM
1059,ASK.
1060,ASK_GAMES
1061,ASOBI
1062,ASPIH Dev
1063,ASSEMBLY
1064,ASSM
1065,"ASTERIOS Co., Ltd."
1066,ASTRUM LAB
1067,ASUS GLOBAL PTE. LTD
1068,AT
1069,AT Games
1070,AT Limited
1071,AT The Gate Team
1072,AT-AT Games
1073,ATARA Productions
1074,ATC Flight Simulator
