appid,publisher_id
1568590,14972
683320,10324
440900,14510
1150690,28663
1259420,31100
349040,3686
881100,28225
471710,32938
1446780,6313
2054970,6313
1030840,267
636480,37674
240720,4540
620980,4346
753640,2511
977950,609
977950,46582
289650,41792
239030,347
1286830,11960
231430,33236
231430,13390
231430,13389
287700,20894
1180320,49106
2016590,18462
389730,3686
1203620,21229
2399830,38207
2399830,36635
1151340,4616
489520,4609
1113000,34385
418370,6313
235460,20894
1049590,27998
1049590,34961
254700,6729
380600,13646
962130,44472
414340,28030
1274570,37901
386180,14982
206440,14240
787860,15763
205100,4616
1250410,44472
750920,8717
750920,13390
750920,13395
905320,8717
905320,13390
905320,13395
890031,8717
890031,13390
890031,13395
890032,8717
890032,13390
890032,13395
890030,8717
890030,13390
890030,13395
849167,8717
849167,13390
849167,13395
849176,8717
849176,13390
849176,13395
849178,8717
849178,13390
849178,13395
849160,8717
849160,13390
849160,13395
849177,8717
849177,13390
849177,13395
849200,8717
849200,13390
849200,13395
849162,8717
849162,13390
849162,13395
849165,8717
849165,13390
849165,13395
849168,8717
849168,13390
849168,13395
849163,8717
849163,13390
849163,13395
849164,8717
849164,13390
849164,13395
849179,8717
849179,13390
849179,13395
849161,8717
849161,13390
849161,13395
849186,8717
849186,13390
849186,13395
849166,8717
849166,13390
849166,13395
1248130,15763
424370,43293
2670630,28218
460950,10324
363970,31155
2429640,2143
282070,99
304430,31118
952060,6313
2709570,9899
747660,35175
287390,10000
2231450,41081
504370,38267
1888160,14339
1888160,4089
307690,37393
307690,13390
815370,8541
779340,34385
779340,13390
779340,13389
346900,18229
212680,38313
582660,30262
1015520,44472
1363080,17940
1466860,44472
241930,43474
241930,43472
1771300,10000
1774580,11960
1145350,38530
387290,44472
233450,30027
871720,35163
638970,34385
333930,43452
206420,10000
493340,14347
493340,3195
1238860,11960
760160,35691
1404210,33834
1313860,11960
1222700,11960
274170,10324
1237950,11960
213670,41792
298110,41792
238460,39922
674020,44041
674020,39901
2881650,22370
752590,13927
629730,43478
265930,7887
1304930,32961
2669320,11960
1973530,31680
2898330,11960
2898360,11960
2898350,11960
678950,4087
3146520,46797
495420,44472
728880,39587
234140,43472
234140,43474
2479810,23960
924970,43472
312660,32918
466560,35800
602960,9339
1328670,11960
1928420,13215
48173,41792
33230,41792
214950,34385
1961460,26168
838350,8053
949230,30027
246620,27367
285900,5529
261570,44472
55230,10000
200260,43219
1147560,27021
1284190,25792
274190,10324
424840,3686
204100,33834
933110,44472
573090,15636
648350,14347
113200,11796
207610,36380
645630,31107
200210,9946
319510,35163
420530,20893
414700,32961
409710,267
409710,13390
1260320,37035
680420,37393
1920960,22060
219640,41028
346010,37250
1290000,37393
1139900,505
1790600,4087
431240,39587
552100,13849
2281730,1924
2567870,2410
601510,20894
214490,34385
214490,13390
214490,13389
1272080,10000
617290,2801
603850,48264
644930,28513
2349820,29350
253710,12794
253710,3474
1451940,43315
273110,27036
1962663,1298
880940,32935
633230,4087
678960,4087
2593370,49721
2593370,275
843380,30978
493520,66
243470,41792
286160,4583
313120,4290
203140,19267
1384160,2802
253230,15509
253230,18134
1888930,31100
621060,40061
201810,4616
637650,37393
851850,4089
1419170,4675
1282100,2801
3097560,8839
1017180,15593
418460,41342
994280,48645
1621690,13599
1621690,45726
774361,39587
221910,14991
470220,41794
403640,4616
900883,4616
454650,4087
501300,2511
282140,14277
568220,31680
2215430,31100
884660,14982
239820,16427
109600,2801
221040,6729
200510,267
200510,13389
209000,43474
1128810,34510
611500,4616
1288310,15269
502500,4087
505460,35934
972660,40509
870780,33249
1846380,11960
1669980,48595
382940,18441
382940,13389
382940,13390
113400,23131
1987080,26675
1987080,11263
2420510,21199
1149460,33812
555160,42491
1659040,18441
242920,35781
834910,16301
834910,36635
2524890,8764
438040,31111
223750,11658
1129580,41007
265630,13655
2021910,10431
1627720,27021
386940,7667
8500,6348
2551020,11345
2322560,46608
108710,33249
1845910,11960
3070070,28694
307780,43472
307780,43474
1206560,25194
1369630,4789
544810,142
367500,6729
48000,31118
920210,43472
920210,43474
412220,9082
1178830,13023
1178830,29724
881020,8943
860510,3686
1562430,39587
690790,7850
690790,11960
1241100,33111
844870,20889
599140,47855
201270,34385
201270,13390
201270,13389
480490,4616
1465360,13927
21690,6729
1533390,2535
555570,28686
360430,267
360430,3195
666140,13927
2321470,15708
1952120,6313
1364780,6313
244450,14472
3300020,49077
2797000,49499
3291100,48428
667030,20113
3496470,6471
340370,41241
3250090,41000
337130,41241
3471330,2478
562040,14472
3422960,45809
1296830,45726
225080,505
823500,37976
50130,267
302510,8737
2344520,5221
835570,31421
529340,30027
554620,37393
554620,13390
554620,13389
751780,18134
704850,31107
2338770,267
269210,29943
1562700,27021
200710,2801
895400,3971
895400,47855
417860,21983
1282730,10324
1276390,28027
967050,17768
312520,1676
364360,34385
364360,13389
364360,13390
824270,21773
447530,44933
447530,29724
1544020,20913
225840,38611
334230,10445
383980,1488
745920,18134
675010,13927
1254120,42211
266840,44472
236430,3686
236430,14339
638230,2511
992300,49504
612880,4616
1210320,47855
1325200,20886
1462040,37393
371660,41792
1483870,1316
476600,1298
476620,1298
738060,35163
955050,13023
955050,29724
1778820,4087
418240,9339
1256670,31680
1135690,18134
582500,41057
939400,1636
1817190,31100
47890,11960
2406770,33214
337000,11876
337000,13389
337000,13390
597170,10727
1213210,11960
444640,28027
787480,6313
527230,8841
261640,267
261640,3194
1657630,26329
326460,46703
1922560,11960
1244460,14347
657200,16833
228380,38924
1184370,24070
1184370,29591
942970,27038
942970,505
242860,5066
250320,39714
939960,41792
1119730,12756
1557740,22370
383120,11984
569480,23041
110800,33834
1189630,49761
257510,10324
257510,8646
413410,37257
625960,18221
460920,41792
1062090,25288
692850,505
1268750,28906
668580,13927
668580,461
1336490,17940
