appid,developer_id
222880,33809
1313140,30483
211820,9234
552500,16276
1217060,13943
1407200,52538
594570,7896
594570,16402
594570,16401
546560,51378
376210,1708
1449850,25475
613100,14940
232090,50074
221380,44137
221380,21286
221380,15083
221380,17089
219990,10337
383870,8119
1643320,18082
291480,29554
550650,51094
550650,33147
1142710,7896
1142710,16400
516750,2641
1943950,16140
286690,490
460930,50635
460930,50612
460930,50617
460930,50627
460930,50626
460930,40235
460930,50613
761890,42376
646910,23373
570940,38819
570940,17493
233860,28326
1196590,7693
356190,32219
2835570,31593
1158310,36547
976310,33696
976310,38819
976310,43490
1366540,54256
635260,8222
397900,683
359320,17501
331470,44904
447040,50607
644560,25321
224260,34345
218230,41090
311690,13185
588430,5654
365590,30477
1818450,14246
268500,16584
268500,16402
268500,16401
39210,45310
1454400,35801
1454400,11880
223710,47892
203770,36547
335300,17493
703080,17501
766570,16678
1568590,18191
683320,34493
440900,17673
1150690,34972
1259420,5497
349040,10864
881100,34487
471710,39957
1446780,7693
2054970,7693
1030840,20610
636480,45642
240720,5559
620980,5296
753640,32053
977950,651
289650,50607
239030,28769
1286830,7229
231430,40308
231430,16402
231430,16401
287700,25475
1180320,59189
2016590,22215
389730,4544
1203620,25910
2399830,46296
2399830,19989
2399830,22988
1151340,5654
489520,5646
1113000,1159
418370,7693
235460,37775
1049590,34216
254700,8178
380600,16688
962130,35104
414340,34261
1274570,45933
386180,47548
206440,17362
787860,19080
205100,3659
1250410,3964
750920,14541
750920,10665
750920,34322
750920,16402
750920,16407
905320,14541
905320,10665
905320,34322
905320,16402
905320,16407
890031,14541
890031,10665
890031,34322
890031,16402
890031,16407
890032,14541
890032,10665
890032,34322
890032,16402
890032,16407
890030,14541
890030,10665
890030,34322
890030,16402
890030,16407
849167,14541
849167,10665
849167,34322
849167,16402
849167,16407
849176,14541
849176,10665
849176,34322
849176,16402
849176,16407
849178,14541
849178,10665
849178,34322
849178,16402
849178,16407
849160,14541
849160,10665
849160,34322
849160,16402
849160,16407
849177,14541
849177,10665
849177,34322
849177,16402
849177,16407
849200,14541
849200,10665
849200,34322
849200,16402
849200,16407
849162,14541
849162,10665
849162,34322
849162,16402
849162,16407
849165,14541
849165,10665
849165,34322
849165,16402
849165,16407
849168,14541
849168,10665
849168,34322
849168,16402
849168,16407
849163,14541
849163,10665
849163,34322
849163,16402
849163,16407
849164,14541
849164,10665
849164,34322
849164,16402
849164,16407
849179,14541
849179,10665
849179,34322
849179,16402
849179,16407
849161,14541
849161,10665
849161,34322
849161,16402
849161,16407
849186,14541
849186,10665
849186,34322
849186,16402
849186,16407
849166,14541
849166,10665
849166,34322
849166,16402
849166,16407
1248130,19080
424370,52348
2670630,34479
460950,3953
363970,37900
2429640,32985
282070,101
304430,37864
952060,7693
2709570,12172
747660,45639
287390,490
2231450,49776
504370,46361
1888160,17493
307690,50863
307690,16402
815370,10466
779340,7896
779340,16402
779340,16401
346900,21960
212680,46407
582660,36879
1015520,40308
1015520,53427
1363080,44199
1466860,40308
1466860,17089
1466860,9443
1466860,53427
241930,32219
1771300,52541
1774580,40428
1145350,46668
387290,32302
233450,23071
233450,13389
871720,42660
638970,41581
333930,45197
206420,12293
493340,17501
493340,3973
1238860,11169
760160,43336
1404210,41032
1313860,14094
1222700,20897
274170,12488
1237950,11169
213670,35104
298110,50631
238460,48383
674020,53214
2881650,53111
2881650,37180
2881650,57639
2881650,44071
2881650,54900
752590,3964
629730,52551
265930,9662
1304930,39988
2669320,14094
2669320,14099
1973530,38496
2898330,14094
2898330,14099
2898360,14094
2898360,14099
2898350,14094
2898350,14099
678950,3469
3146520,56458
495420,50766
728880,19016
728880,48008
234140,4303
2479810,29246
924970,50259
312660,39934
466560,43482
602960,16078
602960,50800
1328670,5905
1928420,16205
48173,50628
33230,50628
214950,7896
1961460,32039
838350,9884
949230,9788
246620,33431
285900,6726
285900,41002
261570,32302
55230,52129
200260,41037
1147560,41900
1284190,31564
274190,17348
424840,47555
204100,41035
933110,53427
933110,47511
933110,17089
573090,18905
648350,17501
113200,14430
113200,16880
207610,48158
645630,40011
200210,53004
200210,12233
319510,42660
420530,17789
414700,39988
409710,286
409710,285
409710,6348
409710,16402
1260320,39976
680420,36951
1920960,26955
219640,49709
346010,45138
1290000,17786
1139900,35500
1139900,386
1139900,44279
1139900,2400
1790600,45150
431240,6218
431240,48008
552100,16919
2281730,2303
2567870,2980
601510,25475
214490,10422
214490,16402
214490,16401
1272080,45483
617290,20131
603850,58144
644930,34816
2349820,59880
253710,15719
253710,4303
1451940,52372
1451940,57959
273110,51378
273110,33029
1962663,22850
1962663,39725
1962663,5352
1962663,49941
1962663,21318
1962663,44211
1962663,1443
1962663,12451
1962663,49815
880940,39954
633230,44654
678960,4996
2593370,59940
843380,37702
493520,66
243470,50607
286160,5616
313120,5233
203140,23114
1384160,3469
253230,18758
1888930,33405
1888930,23164
621060,9377
621060,48529
201810,29600
637650,45310
851850,10864
1419170,5729
1282100,20131
3097560,10811
1017180,18850
418460,3231
418460,50074
994280,58468
994280,4236
1621690,38623
774361,48497
221910,18209
470220,50621
403640,3659
900883,5655
454650,38819
454650,11185
501300,19075
282140,17415
568220,38496
2215430,46423
2215430,34323
884660,11839
884660,30642
239820,19838
109600,10652
221040,8178
200510,16584
200510,16401
209000,52283
209000,45197
1128810,41856
611500,56142
1288310,43494
502500,4997
505460,43624
972660,49064
870780,40328
1846380,10538
1669980,58617
382940,22193
382940,16401
382940,16402
113400,28242
1987080,32634
2420510,25865
1149460,41013
555160,51404
1659040,22193
242920,43458
834910,19687
834910,22988
2524890,10725
438040,37852
223750,14274
1129580,40358
265630,16698
2021910,31191
1627720,33016
386940,9417
8500,7734
2551020,13898
2322560,56228
108710,40328
1845910,5905
3070070,35011
307780,33696
307780,38819
1206560,30812
